Stage,Project,Phase,Test Title,Outcome,Severity,Role,Notes
stage3-matrix-tablet-mobile,mobile,Phase 5,RB orders page contains no RA-created orders (page-level isolation),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 6,"wholesaler dashboard: no horizontal overflow, no console/page errors",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 6,wholesaler orders page: no horizontal overflow,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 6,"retailer catalog: no horizontal overflow, no console/page errors",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 6,retailer orders page: no horizontal overflow,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 6,login forms have labels and keyboard-accessible inputs,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 6,no unexpected network failures during a login journey,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 6,print stub: window.print callable on print pages without errors,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 6,"wholesaler dashboard: no horizontal overflow, no console/page errors",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 6,wholesaler orders page: no horizontal overflow,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 6,"retailer catalog: no horizontal overflow, no console/page errors",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 6,retailer orders page: no horizontal overflow,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 6,login forms have labels and keyboard-accessible inputs,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 6,no unexpected network failures during a login journey,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 6,print stub: window.print callable on print pages without errors,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
